epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
0,0,valid,0.6163,0.844,0.551,0.374,0.583,0.286,0.5,0.2,0.167,1.0,1.0,0.839,1,0,26,5
0,410,valid,0.4555,0.816,0.694,0.253,0.575,0.274,0.407,0.207,0.178,0.971,0.6,0.829,24,16,540,111
0,410,train,0.4709,0.807,0.665,0.162,0.534,0.146,0.264,0.101,0.084,0.985,0.571,0.814,217,163,10365,2375
1,820,valid,0.4542,0.802,0.697,0.228,0.582,0.305,0.392,0.249,0.222,0.942,0.484,0.833,30,32,524,105
1,820,train,0.4508,0.814,0.708,0.263,0.577,0.282,0.42,0.212,0.182,0.972,0.623,0.826,479,290,10202,2149
2,1230,valid,0.4526,0.812,0.697,0.202,0.549,0.198,0.329,0.141,0.119,0.98,0.593,0.821,16,11,545,119
2,1230,train,0.4439,0.815,0.722,0.281,0.588,0.311,0.443,0.24,0.208,0.968,0.618,0.83,548,339,10149,2084
3,1640,valid,0.4496,0.813,0.697,0.229,0.564,0.246,0.376,0.182,0.156,0.973,0.583,0.826,21,15,541,114
3,1640,train,0.4403,0.82,0.728,0.317,0.602,0.347,0.484,0.271,0.236,0.969,0.657,0.833,629,328,10126,2037
4,2050,valid,0.4464,0.818,0.711,0.269,0.584,0.3,0.429,0.231,0.2,0.968,0.6,0.833,27,18,538,108
4,2050,train,0.4323,0.821,0.742,0.322,0.604,0.351,0.49,0.273,0.238,0.97,0.667,0.833,632,315,10146,2027
5,2460,valid,0.4546,0.806,0.705,0.282,0.613,0.374,0.443,0.323,0.296,0.93,0.506,0.845,40,39,517,95
5,2460,train,0.4353,0.818,0.74,0.317,0.605,0.354,0.486,0.278,0.243,0.966,0.648,0.832,654,356,10076,2034
6,2870,valid,0.4476,0.808,0.703,0.206,0.561,0.24,0.356,0.181,0.156,0.966,0.525,0.825,21,19,537,114
6,2870,train,0.4298,0.825,0.744,0.344,0.615,0.377,0.514,0.298,0.262,0.968,0.677,0.837,696,332,10127,1965
7,3280,valid,0.4503,0.816,0.699,0.222,0.549,0.191,0.336,0.133,0.111,0.987,0.682,0.821,15,7,549,120
7,3280,train,0.4234,0.825,0.754,0.344,0.616,0.379,0.514,0.301,0.264,0.967,0.673,0.838,702,341,10120,1957
8,3690,valid,0.4552,0.816,0.687,0.26,0.58,0.291,0.418,0.223,0.193,0.968,0.591,0.832,26,18,538,109
8,3690,train,0.4334,0.82,0.746,0.334,0.613,0.373,0.505,0.296,0.26,0.966,0.661,0.834,701,359,10063,1997
9,4100,valid,0.4586,0.808,0.687,0.25,0.589,0.318,0.413,0.258,0.23,0.948,0.517,0.835,31,29,527,104
9,4100,train,0.4248,0.823,0.763,0.348,0.615,0.378,0.52,0.298,0.26,0.97,0.692,0.834,707,315,10090,2008
10,4510,valid,0.4537,0.826,0.694,0.322,0.606,0.355,0.487,0.279,0.244,0.968,0.647,0.841,33,18,538,102
10,4510,train,0.4157,0.83,0.758,0.359,0.625,0.4,0.527,0.323,0.286,0.965,0.668,0.845,743,370,10151,1856
11,4920,valid,0.4648,0.815,0.689,0.214,0.548,0.19,0.33,0.133,0.111,0.986,0.652,0.82,15,8,548,120
11,4920,train,0.4183,0.828,0.761,0.356,0.626,0.402,0.525,0.326,0.29,0.962,0.657,0.844,762,397,10095,1866
12,5330,valid,0.4633,0.806,0.688,0.254,0.593,0.33,0.418,0.273,0.244,0.942,0.508,0.837,33,32,524,102
12,5330,train,0.4103,0.833,0.767,0.374,0.629,0.41,0.543,0.329,0.29,0.968,0.695,0.845,761,334,10165,1860
13,5740,valid,0.4458,0.822,0.703,0.271,0.57,0.255,0.412,0.184,0.156,0.984,0.7,0.828,21,9,547,114
13,5740,train,0.4196,0.828,0.761,0.363,0.627,0.406,0.534,0.328,0.29,0.964,0.675,0.842,773,372,10084,1891
14,6150,valid,0.4516,0.821,0.701,0.272,0.577,0.279,0.424,0.208,0.178,0.977,0.649,0.83,24,13,543,111
14,6150,train,0.4141,0.832,0.766,0.389,0.638,0.431,0.56,0.35,0.311,0.966,0.7,0.846,832,357,10088,1843
15,6560,valid,0.4519,0.819,0.707,0.285,0.593,0.324,0.448,0.254,0.222,0.964,0.6,0.836,30,20,536,105
15,6560,train,0.4096,0.831,0.782,0.396,0.643,0.441,0.568,0.36,0.321,0.965,0.704,0.844,874,368,10029,1849
16,6970,valid,0.4577,0.813,0.7,0.276,0.598,0.338,0.44,0.275,0.244,0.951,0.55,0.838,33,27,529,102
16,6970,train,0.4021,0.837,0.783,0.405,0.646,0.447,0.575,0.365,0.325,0.967,0.713,0.85,863,348,10118,1791
17,7380,valid,0.4494,0.818,0.693,0.262,0.578,0.284,0.418,0.215,0.185,0.971,0.61,0.831,25,16,540,110
17,7380,train,0.3921,0.843,0.794,0.424,0.654,0.463,0.592,0.38,0.339,0.968,0.728,0.855,888,332,10172,1728
18,7790,valid,0.4545,0.828,0.702,0.332,0.613,0.37,0.499,0.295,0.259,0.966,0.648,0.843,35,19,537,100
18,7790,train,0.3995,0.837,0.792,0.414,0.652,0.46,0.584,0.379,0.34,0.965,0.713,0.85,914,368,10061,1777
19,8200,valid,0.4563,0.818,0.718,0.314,0.62,0.388,0.477,0.327,0.296,0.944,0.563,0.847,40,31,525,95
19,8200,train,0.4004,0.839,0.787,0.421,0.655,0.466,0.591,0.385,0.345,0.965,0.719,0.852,925,362,10077,1756
20,8610,valid,0.4599,0.819,0.72,0.322,0.624,0.396,0.485,0.335,0.304,0.944,0.569,0.848,41,31,525,94
