epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
0,0,valid,0.6617,0.719,0.274,-0.137,0.46,,,,0.0,0.92,0.0,0.767,0,2,23,7
0,444,valid,0.456,0.816,0.682,0.284,0.578,0.281,0.437,0.207,0.176,0.98,0.692,0.822,27,12,583,126
0,444,train,0.4691,0.808,0.667,0.18,0.537,0.155,0.281,0.107,0.088,0.987,0.619,0.814,249,153,11235,2571
1,888,valid,0.4468,0.811,0.7,0.251,0.561,0.23,0.385,0.164,0.137,0.985,0.7,0.816,21,9,586,132
1,888,train,0.4552,0.813,0.694,0.244,0.566,0.25,0.391,0.184,0.156,0.977,0.627,0.823,442,263,11111,2392
2,1332,valid,0.4684,0.806,0.695,0.202,0.538,0.152,0.289,0.103,0.085,0.992,0.722,0.808,13,5,590,140
2,1332,train,0.4493,0.816,0.711,0.287,0.585,0.303,0.447,0.229,0.197,0.974,0.657,0.826,568,297,11024,2319
3,1776,valid,0.446,0.818,0.706,0.314,0.602,0.346,0.483,0.27,0.235,0.968,0.655,0.831,36,19,576,117
3,1776,train,0.44,0.818,0.714,0.282,0.588,0.31,0.443,0.238,0.206,0.969,0.622,0.832,579,352,11050,2227
4,2220,valid,0.4436,0.826,0.705,0.363,0.629,0.409,0.534,0.331,0.294,0.963,0.672,0.841,45,22,573,108
4,2220,train,0.4355,0.823,0.724,0.304,0.595,0.326,0.467,0.251,0.218,0.972,0.654,0.834,611,323,11076,2198
5,2664,valid,0.441,0.814,0.713,0.297,0.597,0.335,0.464,0.262,0.229,0.965,0.625,0.829,35,21,574,118
5,2664,train,0.4315,0.824,0.734,0.326,0.604,0.35,0.492,0.272,0.236,0.971,0.675,0.835,673,324,11037,2174
6,3108,valid,0.4595,0.806,0.693,0.204,0.541,0.162,0.3,0.111,0.092,0.99,0.7,0.809,14,6,589,139
6,3108,train,0.4279,0.826,0.733,0.323,0.604,0.35,0.488,0.272,0.237,0.971,0.665,0.838,666,336,11063,2143
7,3552,valid,0.4384,0.828,0.713,0.374,0.637,0.427,0.544,0.351,0.314,0.96,0.667,0.845,48,24,571,105
7,3552,train,0.4202,0.829,0.744,0.328,0.607,0.357,0.493,0.28,0.244,0.97,0.662,0.842,676,345,11097,2090
8,3996,valid,0.4507,0.824,0.7,0.36,0.634,0.421,0.53,0.349,0.314,0.955,0.64,0.844,48,27,568,105
8,3996,train,0.438,0.82,0.732,0.324,0.608,0.361,0.493,0.284,0.249,0.966,0.653,0.834,722,384,10926,2176
9,4440,valid,0.446,0.809,0.709,0.234,0.557,0.219,0.366,0.156,0.131,0.983,0.667,0.815,20,10,585,133
9,4440,train,0.4268,0.827,0.739,0.335,0.611,0.368,0.502,0.29,0.254,0.968,0.665,0.84,717,362,11027,2102
10,4884,valid,0.4325,0.826,0.721,0.376,0.643,0.44,0.544,0.369,0.333,0.953,0.646,0.848,51,28,567,102
10,4884,train,0.4104,0.833,0.762,0.362,0.623,0.395,0.529,0.315,0.278,0.969,0.684,0.846,774,357,11066,2011
11,5328,valid,0.4398,0.811,0.709,0.262,0.573,0.269,0.415,0.199,0.17,0.976,0.65,0.821,26,14,581,127
11,5328,train,0.4123,0.836,0.755,0.374,0.628,0.407,0.542,0.326,0.287,0.97,0.697,0.848,801,348,11072,1987
12,5772,valid,0.4383,0.822,0.71,0.331,0.604,0.351,0.499,0.271,0.235,0.973,0.692,0.832,36,16,579,117
12,5772,train,0.4198,0.828,0.755,0.352,0.619,0.386,0.522,0.306,0.269,0.969,0.682,0.841,767,357,10999,2085
